chapter,tokens_total,tokens_scored,coverage,mean_val_base,mean_val_afinn,mean_val_bing,mean_val_nrc,mean_val_base_scored,mean_val_afinn_scored,mean_val_bing_scored,mean_val_nrc_scored
1,1212,74,0.06105610561056106,0.009158415841584158,0.0026402640264026403,0.01155115511551155,0,0.15,0.043243243243243246,0.1891891891891892,0
2,1078,96,0.08905380333951762,0.02141929499072356,0.004675324675324675,0.026437847866419294,0,0.24052083333333332,0.0525,0.296875,0
3,1394,104,0.0746054519368723,0.015014347202295553,0.002266857962697274,0.016642754662840747,0,0.20124999999999998,0.030384615384615385,0.22307692307692306,0
4,699,63,0.09012875536480687,0.007081545064377683,8.583690987124461e-4,0.009298998569384835,0,0.07857142857142857,0.009523809523809521,0.10317460317460317,0
5,881,76,0.08626560726447219,0.0019863791146424517,-0.004540295119182748,0.006923950056753689,0,0.023026315789473683,-0.05263157894736842,0.08026315789473684,0
6,796,55,0.06909547738693467,-0.00414572864321608,0.0026381909547738692,-0.0043969849246231155,0,-0.06,0.038181818181818185,-0.06363636363636363,0
7,405,20,0.04938271604938271,-4.938271604938272e-4,4.938271604938275e-4,-0.0049382716049382715,0,-0.01,0.010000000000000005,-0.1,0
8,379,27,0.0712401055408971,-0.0056728232189973615,0.0031662269129287598,-0.00395778364116095,0,-0.07962962962962962,0.044444444444444446,-0.05555555555555555,0
9,1287,87,0.0675990675990676,0.020784770784770784,0.009945609945609946,0.022999222999223,0,0.3074712643678161,0.1471264367816092,0.34022988505747126,0
10,1476,110,0.07452574525745258,0.006537940379403794,0.00491869918699187,0.009552845528455284,0,0.08772727272727274,0.066,0.12818181818181817,0
11,2139,157,0.07339878447872837,0.003174380551659654,-6.825619448340345e-4,0.0040205703599813,0,0.0432484076433121,-0.009299363057324839,0.05477707006369426,0
12,1652,140,0.0847457627118644,-4.2372881355932294e-5,5.811138014527845e-4,0.003208232445520581,0,-5.000000000000014e-4,0.006857142857142857,0.03785714285714285,0
13,1902,171,0.08990536277602523,-0.011593059936908517,-0.005888538380651945,-0.007360672975814932,0,-0.12894736842105264,-0.0654970760233918,-0.08187134502923976,0
14,1687,121,0.07172495554238292,0.014481327800829875,0.007883817427385892,0.015767634854771784,0,0.201900826446281,0.10991735537190084,0.21983471074380168,0
15,1330,111,0.08345864661654136,-0.01648872180451128,-0.009819548872180452,-0.011954887218045112,0,-0.19756756756756758,-0.11765765765765766,-0.14324324324324325,0
16,1342,98,0.07302533532041729,0.011222056631892697,0.00488822652757079,0.013189269746646796,0,0.1536734693877551,0.0669387755102041,0.18061224489795918,0
17,1505,122,0.08106312292358804,0.008425249169435217,0.0043588039867109634,0.010764119601328904,0,0.1039344262295082,0.05377049180327868,0.13278688524590163,0
18,1260,103,0.08174603174603175,-0.002825396825396825,0.0010158730158730158,-0.001825396825396825,0,-0.034563106796116495,0.012427184466019418,-0.02233009708737864,0
19,1323,109,0.08238851095993953,-0.006621315192743764,-0.0013303099017384732,-0.00763416477702192,0,-0.08036697247706422,-0.016146788990825688,-0.09266055045871559,0
20,1117,83,0.07430617726051925,0.013858549686660698,0.0020590868397493286,0.01486123545210385,0,0.18650602409638556,0.027710843373493978,0.2,0
21,2369,209,0.08822287885183622,-0.0022710004221190377,4.136766568172226e-4,-1.266357112705784e-4,0,-0.025741626794258378,0.0046889952153110065,-0.0014354066985645946,0
22,1922,137,0.0712799167533819,5.567117585848077e-4,7.700312174817899e-4,5.202913631633713e-5,0,0.007810218978102194,0.010802919708029197,7.29927007299269e-4,0
23,1634,97,0.05936352509179926,0.004834761321909424,0.002447980416156671,0.004651162790697674,0,0.08144329896907217,0.041237113402061855,0.07835051546391752,0
24,1577,120,0.07609384908053266,0.010019023462270134,0.003994927076727965,0.010526315789473684,0,0.13166666666666668,0.0525,0.13833333333333334,0
25,1771,126,0.07114624505928854,0.00572557876905703,0.006007905138339921,0.006775832862789385,0,0.08047619047619048,0.08444444444444445,0.09523809523809523,0
26,1557,108,0.06936416184971098,0.0035195889531149647,0.004534360950545922,0.004303147077713552,0,0.050740740740740746,0.06537037037037037,0.062037037037037036,0
27,1797,123,0.06844741235392321,0.003005008347245409,0.0022259321090706734,0.006121313299944352,0,0.04390243902439024,0.032520325203252036,0.08943089430894309,0
28,1774,159,0.08962795941375423,-0.005146561443066516,-0.0013190529875986474,-0.006426155580608794,0,-0.05742138364779874,-0.014716981132075476,-0.07169811320754717,0
29,1724,134,0.0777262180974478,8.468677494199532e-4,0.0018329466357308584,0.0058584686774942,0,0.010895522388059698,0.023582089552238807,0.07537313432835821,0
30,1782,151,0.08473625140291807,-0.02440516273849607,-0.00681257014590348,-0.022895622895622896,0,-0.2880132450331126,-0.08039735099337748,-0.27019867549668874,0
31,1707,128,0.07498535442296426,0.009449326303456356,0.0043116578793204454,0.010720562390158173,0,0.126015625,0.0575,0.14296875,0
32,870,67,0.07701149425287357,0.009172413793103448,-0.0014252873563218393,0.006206896551724138,0,0.1191044776119403,-0.018507462686567167,0.08059701492537313,0
33,2110,190,0.09004739336492891,0.004654028436018957,-7.109004739336491e-4,0.006113744075829384,0,0.05168421052631579,-0.007894736842105262,0.06789473684210527,0
34,946,87,0.0919661733615222,-0.008054968287526427,-0.006596194503171247,-0.005919661733615222,0,-0.08758620689655172,-0.07172413793103448,-0.06436781609195402,0
35,1152,86,0.07465277777777778,-0.0036371527777777773,-0.0036284722222222226,-0.003125,0,-0.048720930232558135,-0.0486046511627907,-0.04186046511627907,0
