comparison,estimate,p_value,statistic,n
sentiment ~ region | plot_proxy,-0.16269941807944832,0.532686934130159,-0.6386416011182133,18
sentiment ~ plot_proxy | region,-0.6698987008234367,0.0032600617579255885,-3.4945083686386047,18
