order,location,tokens_total,tokens_scored,coverage,mean_val_base,mean_val_afinn,mean_val_bing,mean_val_nrc,mean_val_base_scored,mean_val_afinn_scored,mean_val_bing_scored,mean_val_nrc_scored,ci_lo,ci_hi
1,London,5264,413,0.07845744680851063,0.011743920972644376,0.001519756838905775,0.014874620060790274,0,0.14968523002421308,0.01937046004842615,0.18958837772397094,0,0.07659624697336562,0.22077723970944296
2,Suez/Aden,796,55,0.06909547738693467,-0.00414572864321608,0.0026381909547738692,-0.0043969849246231155,0,-0.06,0.038181818181818185,-0.06363636363636363,0,-0.2295681818181818,0.11090909090909092
3,London,784,47,0.05994897959183673,-0.0029974489795918367,0.0017857142857142859,-0.004464285714285714,0,-0.05,0.029787234042553193,-0.07446808510638298,0,-0.22872340425531915,0.13353723404255305
4,Bombay,4902,354,0.07221542227662178,0.008810689514483884,0.0037943696450428396,0.010669114647082823,0,0.12200564971751411,0.052542372881355937,0.14774011299435028,0,0.04296468926553672,0.19970833333333332
5,London,1652,140,0.0847457627118644,-4.2372881355932294e-5,5.811138014527845e-4,0.003208232445520581,0,-5.000000000000014e-4,0.006857142857142857,0.03785714285714285,0,-0.1193375,0.1268678571428571
6,Bombay,1902,171,0.08990536277602523,-0.011593059936908517,-0.005888538380651945,-0.007360672975814932,0,-0.12894736842105264,-0.0654970760233918,-0.08187134502923976,0,-0.22719298245614036,-0.023947368421052793
7,Calcutta,1687,121,0.07172495554238292,0.014481327800829875,0.007883817427385892,0.015767634854771784,0,0.201900826446281,0.10991735537190084,0.21983471074380168,0,0.08123553719008264,0.3198119834710743
8,Bombay,1330,111,0.08345864661654136,-0.01648872180451128,-0.009819548872180452,-0.011954887218045112,0,-0.19756756756756758,-0.11765765765765766,-0.14324324324324325,0,-0.30911936936936935,-0.0763963963963964
9,Hong Kong,5430,432,0.07955801104972375,0.002839779005524862,0.0023278084714548806,0.0039594843462246775,0,0.035694444444444445,0.02925925925925926,0.04976851851851852,0,-0.03623900462962963,0.10297627314814803
10,Yokohama/Japan,5408,429,0.07932692307692307,0.0020654585798816566,8.801775147928995e-4,0.003032544378698225,0,0.026037296037296036,0.011095571095571096,0.03822843822843822,0,-0.0503030303030303,0.09929778554778551
11,San Francisco,1634,97,0.05936352509179926,0.004834761321909424,0.002447980416156671,0.004651162790697674,0,0.08144329896907217,0.041237113402061855,0.07835051546391752,0,-0.06321649484536082,0.22381443298969073
12,Yokohama/Japan,1577,120,0.07609384908053266,0.010019023462270134,0.003994927076727965,0.010526315789473684,0,0.13166666666666668,0.0525,0.13833333333333334,0,0.010395833333333337,0.25083333333333335
13,San Francisco,3328,234,0.0703125,0.004693509615384616,0.005318509615384616,0.005618990384615385,0,0.06675213675213676,0.07564102564102564,0.07991452991452991,0,-0.020563034188034186,0.151184829059829
14,Transit,1797,123,0.06844741235392321,0.003005008347245409,0.0022259321090706734,0.006121313299944352,0,0.04390243902439024,0.032520325203252036,0.08943089430894309,0,-0.07948170731707317,0.17199186991869897
15,Atlantic/Liverpool,1774,159,0.08962795941375423,-0.005146561443066516,-0.0013190529875986474,-0.006426155580608794,0,-0.05742138364779874,-0.014716981132075476,-0.07169811320754717,0,-0.16363050314465408,0.05456132075471698
16,San Francisco,3506,285,0.08128921848260126,-0.011988020536223616,-0.0025613234455219625,-0.008756417569880205,0,-0.1474736842105263,-0.03150877192982456,-0.10771929824561403,0,-0.2362061403508772,-0.05646842105263171
17,New York,1707,128,0.07498535442296426,0.009449326303456356,0.0043116578793204454,0.010720562390158173,0,0.126015625,0.0575,0.14296875,0,0.011402343749999998,0.24094140625
18,Atlantic/Liverpool,2980,257,0.08624161073825504,0.005973154362416107,-9.194630872483221e-4,0.0061409395973154365,0,0.06926070038910506,-0.010661478599221789,0.07120622568093385,0,-0.021291828793774316,0.1606838521400778
19,London,3616,289,0.07992256637168142,-6.609513274336283e-4,-0.002040929203539823,0.0012997787610619469,0,-0.008269896193771626,-0.025536332179930798,0.01626297577854671,0,-0.08834256055363321,0.07655017301038056
