order,location,region,mean_val_base_scored,plot_proxy,coverage,.fitted,.resid
1,London,Europe,0.14968523002421308,0.10300223570744171,0.07845744680851063,0.1419485847876999,0.007736645236513184
2,Suez/Aden,Middle East,-0.06,0.09787234042553192,0.06909547738693467,-0.05999999999999972,-2.7755575615628914e-16
3,London,Europe,-0.05,0.12770339855818744,0.05994897959183673,-0.0760875414744775,0.02608754147447749
4,Bombay,South Asia,0.12200564971751411,0.1048767697954903,0.07221542227662178,0.10234156288393759,0.019664086833576525
5,London,Europe,-5.000000000000014e-4,0.12291666666666666,0.0847457627118644,-0.03383526026046546,0.03333526026046546
6,Bombay,South Asia,-0.12894736842105264,0.1179372197309417,0.08990536277602523,-0.012942479748936364,-0.11600488867211628
7,Calcutta,South Asia,0.201900826446281,0.10140562248995984,0.07172495554238292,0.13298123425310981,0.06891959219317118
8,Bombay,South Asia,-0.19756756756756758,0.14195979899497488,0.08345864661654136,-0.2249887772129351,0.02742120964536751
9,Hong Kong,East Asia,0.035694444444444445,0.1191330110712615,0.07955801104972375,-0.005889359493418844,0.04158380393786329
10,Yokohama/Japan,East Asia,0.026037296037296036,0.10965935604293048,0.07932692307692307,0.07773419525186454,-0.0516968992145685
11,San Francisco,North America,0.08144329896907217,0.1186264308012487,0.05936352509179926,0.007307870032956076,0.07413542893611609
12,Yokohama/Japan,East Asia,0.13166666666666668,0.10469508904479223,0.07609384908053266,0.12155357138996226,0.010113095276704426
13,San Francisco,North America,0.06675213675213676,0.10492560287326834,0.0703125,0.12824450228997986,-0.0614923655378431
15,Atlantic/Liverpool,Europe,-0.05742138364779874,0.12183468705207835,0.08962795941375423,-0.024284671679476677,-0.03313671196832206
16,San Francisco,North America,-0.1474736842105263,0.13233155598642754,0.08128921848260126,-0.11366669393273954,-0.033806990277786775
17,New York,North America,0.126015625,0.10757575757575757,0.07498535442296426,0.104851698120487,0.02116392687951299
18,Atlantic/Liverpool,Europe,0.06926070038910506,0.11237513873473919,0.08624161073825504,0.059214363720804686,0.010046336668300376
19,London,Europe,-0.008269896193771626,0.1150278293135436,0.07992256637168142,0.03579917547766387,-0.04406907167143549
